,Districts/Neighborhoods,Address,County,Routes Served,Name,Route,Route Type,Agency Stop ID,Lat,Lon
0,Industrial District,"Seattle, WA",King,5,4th Ave S & S Royal Brougham Way,5 - Shoreline Community College - Seattle,Seattle,,47.593342,-122.328957
1,International District,"Seattle, WA",King,5,4th Ave S & S Jackson St,5 - Shoreline Community College - Seattle,Seattle,,47.599827,-122.328972
2,Pioneer Square,"Seattle, WA",King,5,3rd Ave & James St,5 - Shoreline Community College - Seattle,Seattle,,47.602642,-122.331184
3,Central Business District,"Seattle, WA",King,5,3rd Ave & Madison St,5 - Shoreline Community College - Seattle,Seattle,,47.605541,-122.333832
4,Central Business District,"Seattle, WA",King,5,3rd Ave & Union St,5 - Shoreline Community College - Seattle,Seattle,,47.608688,-122.336700
5,Central Business District,"Seattle, WA",King,5,3rd Ave & Pine St,5 - Shoreline Community College - Seattle,Seattle,,47.611137,-122.338951
6,"Belltown, Denny Regrade","Seattle, WA",King,1,3rd Ave & Virginia St,5 - Shoreline Community College - Seattle,Seattle,,47.612995,-122.341743
7,"Belltown, Denny Regrade","Seattle, WA",King,1,3rd Ave & Bell St,5 - Shoreline Community College - Seattle,Seattle,,47.615120,-122.345337
8,,"Seattle, WA",King,5,7th Ave N & Denny Way,5 - Shoreline Community College - Seattle,Seattle,,47.619087,-122.343445
9,,"Seattle, WA",King,5,7th Ave N & Harrison St,5 - Shoreline Community College - Seattle,Seattle,,47.621895,-122.343506
10,"Cascade, Westlake","Seattle, WA",King,5,Aurora Ave N & Prospect St,5 - Shoreline Community College - Seattle,Seattle,,47.629238,-122.343353
11,"Cascade, Westlake","Seattle, WA",King,5,Aurora Ave N & Galer St,5 - Shoreline Community College - Seattle,Seattle,,47.632572,-122.343323
12,"Cascade, Westlake","Seattle, WA",King,5,Aurora Ave N & Crockett St,5 - Shoreline Community College - Seattle,Seattle,,47.637405,-122.344185
13,Queen Anne,"Seattle, WA",King,5,Aurora Ave N & Lynn St,5 - Shoreline Community College - Seattle,Seattle,,47.638874,-122.345200
14,Queen Anne,"Seattle, WA",King,5,Aurora Ave N & Halladay St,5 - Shoreline Community College - Seattle,Seattle,,47.641975,-122.346672
15,Fremont,"Seattle, WA",King,5,Aurora Ave N & N 38th St,5 - Shoreline Community College - Seattle,Seattle,,47.652473,-122.346619
16,Fremont,"Seattle, WA",King,5,Fremont Ave N & N 39th St,5 - Shoreline Community College - Seattle,Seattle,,47.654400,-122.349815
17,Fremont,"Seattle, WA",King,5,Fremont Ave N & N 41st St,5 - Shoreline Community College - Seattle,Seattle,,47.656902,-122.349854
18,Fremont,"Seattle, WA",King,5,N 43rd St & Fremont Ave N,5 - Shoreline Community College - Seattle,Seattle,,47.659023,-122.350403
19,Fremont,"Seattle, WA",King,5,Phinney Ave N & N 43rd St,5 - Shoreline Community College - Seattle,Seattle,,47.659287,-122.354279
20,Fremont,"Seattle, WA",King,5,Phinney Ave N & N 46th St,5 - Shoreline Community College - Seattle,Seattle,,47.662418,-122.353882
21,Fremont,"Seattle, WA",King,5,Phinney Ave N & N 50th St,5 - Shoreline Community College - Seattle,Seattle,,47.664959,-122.353874
22,Phinney Ridge,"Seattle, WA",King,5,Phinney Ave N & N 53rd St,5 - Shoreline Community College - Seattle,Seattle,,47.666897,-122.354324
23,Phinney Ridge,"Seattle, WA",King,5,Phinney Ave N & N 55th St,5 - Shoreline Community College - Seattle,Seattle,,47.668350,-122.354309
24,Phinney Ridge,"Seattle, WA",King,5,Phinney Ave N & N 58th St,5 - Shoreline Community College - Seattle,Seattle,,47.670960,-122.354294
25,Phinney Ridge,"Seattle, WA",King,5,Phinney Ave N & N 60th St,5 - Shoreline Community College - Seattle,Seattle,,47.672764,-122.354279
26,Phinney Ridge,"Seattle, WA",King,5,Phinney Ave N & N 64th St,5 - Shoreline Community College - Seattle,Seattle,,47.675819,-122.354256
27,Phinney Ridge,"Seattle, WA",King,5,Phinney Ave N & N 67th St,5 - Shoreline Community College - Seattle,Seattle,,47.677280,-122.354256
28,Phinney Ridge,"Seattle, WA",King,5,Greenwood Ave N & N 68th St,5 - Shoreline Community College - Seattle,Seattle,,47.678936,-122.355209
29,Phinney Ridge,"Seattle, WA",King,5,Greenwood Ave N & N 72nd St,5 - Shoreline Community College - Seattle,Seattle,,47.681381,-122.355209
30,Greenwood,"Seattle, WA",King,5,Greenwood Ave N & N 75th St,5 - Shoreline Community College - Seattle,Seattle,,47.683537,-122.355194
31,Greenwood,"Seattle, WA",King,5,Greenwood Ave N & N 80th St,5 - Shoreline Community College - Seattle,Seattle,,47.687332,-122.355194
32,Greenwood,"Seattle, WA",King,5,Greenwood Ave N & N 85th St,5 - Shoreline Community College - Seattle,Seattle,,47.690968,-122.355209
33,Greenwood,"Seattle, WA",King,5,Greenwood Ave N & N 87th St,5 - Shoreline Community College - Seattle,Seattle,,47.692844,-122.355225
34,Greenwood,"Seattle, WA",King,5,Greenwood Ave N & N 90th St,5 - Shoreline Community College - Seattle,Seattle,,47.694466,-122.355247
35,Greenwood,"Seattle, WA",King,5,Greenwood Ave N & N 92nd St,5 - Shoreline Community College - Seattle,Seattle,,47.696289,-122.355278
36,Greenwood,"Seattle, WA",King,5,Greenwood Ave N & N 97th St,5 - Shoreline Community College - Seattle,Seattle,,47.700008,-122.355309
37,Greenwood,"Seattle, WA",King,5,Greenwood Ave N & N 100th St,5 - Shoreline Community College - Seattle,Seattle,,47.701737,-122.355316
38,Greenwood,"Seattle, WA",King,5,Greenwood Ave N & N 103rd St,5 - Shoreline Community College - Seattle,Seattle,,47.703884,-122.355347
39,Bitter Lake,"Seattle, WA",King,5,Greenwood Ave N & N 107th St,5 - Shoreline Community College - Seattle,Seattle,,47.707176,-122.355347
40,Bitter Lake,"Seattle, WA",King,5,Greenwood Ave N & N 110th St,5 - Shoreline Community College - Seattle,Seattle,,47.709072,-122.355347
41,Bitter Lake,"Seattle, WA",King,5,Greenwood Ave N & N 112th St,5 - Shoreline Community College - Seattle,Seattle,,47.710777,-122.355400
42,Bitter Lake,"Seattle, WA",King,5,Greenwood Ave N & N 117th St,5 - Shoreline Community College - Seattle,Seattle,,47.714401,-122.355415
43,Bitter Lake,"Seattle, WA",King,5,Greenwood Ave N & N 122nd St,5 - Shoreline Community College - Seattle,Seattle,,47.718021,-122.355431
44,Bitter Lake,"Seattle, WA",King,5,Greenwood Ave N & N 125th St,5 - Shoreline Community College - Seattle,Seattle,,47.720032,-122.355438
45,Bitter Lake,"Seattle, WA",King,5,Greenwood Ave N & N 130th St,5 - Shoreline Community College - Seattle,Seattle,,47.723671,-122.355453
46,Bitter Lake,"Seattle, WA",King,5,Greenwood Ave N & N 134th St,5 - Shoreline Community College - Seattle,Seattle,,47.726650,-122.355438
47,Bitter Lake,"Seattle, WA",King,5,Greenwood Ave N & N 137th St,5 - Shoreline Community College - Seattle,Seattle,,47.728973,-122.355453
48,Bitter Lake,"Seattle, WA",King,5,Greenwood Ave N & N 143rd St,5 - Shoreline Community College - Seattle,Seattle,,47.732136,-122.355453
49,Bitter Lake,"Seattle, WA",King,5,Greenwood Ave N & N 145th St,5 - Shoreline Community College - Seattle,Seattle,,47.733524,-122.355469
50,Highland Terrace,"Shoreline, WA",King,5,Dayton Ave N & N 150th St,5 - Shoreline Community College - Seattle,Seattle,,47.737946,-122.353050
51,Highland Terrace,"Shoreline, WA",King,5,Dayton Ave N & N 155th St,5 - Shoreline Community College - Seattle,Seattle,,47.741745,-122.353119
52,Highland Terrace,"Shoreline, WA",King,5,Dayton Ave N & N 160th St,5 - Shoreline Community College - Seattle,Seattle,,47.744144,-122.353134
53,Shoreline Community College,"Shoreline, WA",King,5,N Innis Arden Way & Greenwood Ave N,5 - Shoreline Community College - Seattle,Seattle,,47.746098,-122.357193
54,Shoreline Community College,"Shoreline, WA",King,5,Shoreline CC & N Innis Arden Way,5 - Shoreline Community College - Seattle,Seattle,,47.746998,-122.357857
55,"Atlantic, Central District","Seattle, WA",King,8,Mt. Baker Transfer Area - Bay 2,8 - Seattle Center - Capitol Hill - Mount Baker,Seattle,,47.577591,-122.297127
56,"Mount Baker, Rainier Valley","Seattle, WA",King,8,Martin L King Jr Way S & S Mcclellan St,8 - Seattle Center - Capitol Hill - Mount Baker,Seattle,,47.578617,-122.296089
57,"Mount Baker, Rainier Valley","Seattle, WA",King,8,Martin L King Jr Way S & S Bayview St,8 - Seattle Center - Capitol Hill - Mount Baker,Seattle,,47.581486,-122.297020
58,"Mount Baker, Rainier Valley","Seattle, WA",King,8,Martin L King Jr Way S & S Walker St,8 - Seattle Center - Capitol Hill - Mount Baker,Seattle,,47.583851,-122.298042
59,"Mount Baker, Rainier Valley","Seattle, WA",King,4,Martin L King Jr Way S & S Massachusetts St,8 - Seattle Center - Capitol Hill - Mount Baker,Seattle,,47.588734,-122.297821
60,"Mount Baker, Rainier Valley","Seattle, WA",King,4,Martin L King Jr Way S & S Irving St,8 - Seattle Center - Capitol Hill - Mount Baker,Seattle,,47.590630,-122.297348
61,"Central District, Leschi","Seattle, WA",King,8,Martin L King Jr Way S & S Dearborn St,8 - Seattle Center - Capitol Hill - Mount Baker,Seattle,,47.595352,-122.297523
62,"Atlantic, Central District","Seattle, WA",King,8,S Jackson St & Martin L King Jr Way S,8 - Seattle Center - Capitol Hill - Mount Baker,Seattle,,47.599304,-122.297752
63,"Atlantic, Central District","Seattle, WA",King,4,23rd Ave S & S Jackson St,8 - Seattle Center - Capitol Hill - Mount Baker,Seattle,,47.599697,-122.302124
64,"Atlantic, Central District","Seattle, WA",King,8,E Yesler Way & 23rd Ave S,8 - Seattle Center - Capitol Hill - Mount Baker,Seattle,,47.601601,-122.301727
65,"Atlantic, Central District","Seattle, WA",King,8,E Yesler Way & 27th Ave S,8 - Seattle Center - Capitol Hill - Mount Baker,Seattle,,47.601585,-122.297539
66,"Central District, Leschi","Seattle, WA",King,8,Martin L King Jr Way & E Alder St,8 - Seattle Center - Capitol Hill - Mount Baker,Seattle,,47.604504,-122.296700
67,"Central District, Leschi","Seattle, WA",King,8,Martin L King Jr Way & E Cherry St,8 - Seattle Center - Capitol Hill - Mount Baker,Seattle,,47.607601,-122.296249
68,"Central District, Madrona","Seattle, WA",King,8,Martin L King Jr Way & E Marion St,8 - Seattle Center - Capitol Hill - Mount Baker,Seattle,,47.610191,-122.296127
69,"Central District, Madrona","Seattle, WA",King,8,Martin L King Jr Way & E Union St,8 - Seattle Center - Capitol Hill - Mount Baker,Seattle,,47.612625,-122.296112
70,"Central District, Madrona","Seattle, WA",King,8,Martin L King Jr Way & E Olive St,8 - Seattle Center - Capitol Hill - Mount Baker,Seattle,,47.616684,-122.296043
71,"Central District, Harrison/Denny-Blaine","Seattle, WA",King,8,Martin L King Jr Way E & E John St,8 - Seattle Center - Capitol Hill - Mount Baker,Seattle,,47.620106,-122.295990
72,"Capitol Hill, Stevens","Seattle, WA",King,8,E Madison St & Martin L King Jr Way E,8 - Seattle Center - Capitol Hill - Mount Baker,Seattle,,47.623097,-122.296906
73,"Capitol Hill, Stevens","Seattle, WA",King,8,E Madison St & 25th Ave E,8 - Seattle Center - Capitol Hill - Mount Baker,Seattle,,47.620869,-122.300186
74,"Capitol Hill, Stevens","Seattle, WA",King,8,E John St & 22nd Ave E,8 - Seattle Center - Capitol Hill - Mount Baker,Seattle,,47.620277,-122.303993
75,"Capitol Hill, Stevens","Seattle, WA",King,8,E Thomas St & 19th Ave E,8 - Seattle Center - Capitol Hill - Mount Baker,Seattle,,47.620556,-122.307190
76,"Capitol Hill, Stevens","Seattle, WA",King,8,E Thomas St & 16th Ave E,8 - Seattle Center - Capitol Hill - Mount Baker,Seattle,,47.620571,-122.311920
77,"Broadway, Capitol Hill","Seattle, WA",King,8,E John St & 15th Ave E,8 - Seattle Center - Capitol Hill - Mount Baker,Seattle,,47.620033,-122.313202
78,"Broadway, Capitol Hill","Seattle, WA",King,8,E John St & 12th Ave E,8 - Seattle Center - Capitol Hill - Mount Baker,Seattle,,47.620003,-122.317535
79,,"Seattle, WA",King,8,E John St & 10th Ave E,8 - Seattle Center - Capitol Hill - Mount Baker,Seattle,,47.619980,-122.320114
80,"Broadway, Capitol Hill","Seattle, WA",King,8,E Olive Way & Summit Ave E,8 - Seattle Center - Capitol Hill - Mount Baker,Seattle,,47.619152,-122.325119
81,"Broadway, Capitol Hill","Seattle, WA",King,8,E Denny Way & Bellevue Ave E,8 - Seattle Center - Capitol Hill - Mount Baker,Seattle,,47.618565,-122.326553
82,Cascade,"Seattle, WA",King,8,Denny Way & Fairview Ave N,8 - Seattle Center - Capitol Hill - Mount Baker,Seattle,,47.618603,-122.334213
83,Cascade,"Seattle, WA",King,8,Denny Way & Westlake Ave,8 - Seattle Center - Capitol Hill - Mount Baker,Seattle,,47.618603,-122.338806
84,Cascade,"Seattle, WA",King,8,Denny Way & 7th Ave N,8 - Seattle Center - Capitol Hill - Mount Baker,Seattle,,47.618626,-122.343323
85,Cascade,"Seattle, WA",King,8,Denny Way & 5th Ave N,8 - Seattle Center - Capitol Hill - Mount Baker,Seattle,,47.618641,-122.347847
86,,"Seattle, WA",King,2,Denny Way & 2nd Ave N,8 - Seattle Center - Capitol Hill - Mount Baker,Seattle,,47.618660,-122.352615
87,,"Seattle, WA",King,1,1st Ave N & Denny Way,8 - Seattle Center - Capitol Hill - Mount Baker,Seattle,,47.619118,-122.355362
88,Queen Anne,"Seattle, WA",King,1,1st Ave N & Republican St,8 - Seattle Center - Capitol Hill - Mount Baker,Seattle,,47.623123,-122.355309
89,Queen Anne,"Seattle, WA",King,1,Mercer St & Queen Anne Ave N,8 - Seattle Center - Capitol Hill - Mount Baker,Seattle,,47.624649,-122.356552
90,Central Business District,"Seattle, WA",King,3,Pine St & 9th Ave,11 - Madison Park - Seattle,Seattle,,47.613377,-122.332603
91,Central Business District,"Seattle, WA",King,3,Pine St & 5th Ave,11 - Madison Park - Seattle,Seattle,,47.611767,-122.336456
92,Central Business District,"Seattle, WA",King,10,Pine St & 4th Ave,11 - Madison Park - Seattle,Seattle,,47.611103,-122.338028
93,Central Business District,"Seattle, WA",King,3,Pike St & 4th Ave,11 - Madison Park - Seattle,Seattle,,47.610073,-122.336838
94,Central Business District,"Seattle, WA",King,3,Pike St & 6th Ave,11 - Madison Park - Seattle,Seattle,,47.611034,-122.334526
95,,"Seattle, WA",King,3,Pike St & 7th Ave,11 - Madison Park - Seattle,Seattle,,47.611809,-122.332687
96,First Hill,"Seattle, WA",King,3,Pike St & Minor Ave,11 - Madison Park - Seattle,Seattle,,47.613785,-122.327957
97,"Broadway, Capitol Hill","Seattle, WA",King,3,Bellevue Ave & E Olive St,11 - Madison Park - Seattle,Seattle,,47.616509,-122.326691
98,"Broadway, Capitol Hill","Seattle, WA",King,8,E Olive Way & Summit Ave E,11 - Madison Park - Seattle,Seattle,,47.619129,-122.324883
99,"Broadway, Capitol Hill","Seattle, WA",King,8,E John St & Broadway E,11 - Madison Park - Seattle,Seattle,,47.619846,-122.320473
100,"Broadway, Capitol Hill","Seattle, WA",King,8,E John St & 12th Ave E,11 - Madison Park - Seattle,Seattle,,47.619873,-122.316429
101,"Broadway, Capitol Hill","Seattle, WA",King,8,E John St & 15th Ave E,11 - Madison Park - Seattle,Seattle,,47.619892,-122.313042
102,"Capitol Hill, Stevens","Seattle, WA",King,8,E Thomas St & 16th Ave E,11 - Madison Park - Seattle,Seattle,,47.620426,-122.311020
103,"Capitol Hill, Stevens","Seattle, WA",King,8,E Thomas St & 19th Ave E,11 - Madison Park - Seattle,Seattle,,47.620422,-122.307518
104,"Capitol Hill, Stevens","Seattle, WA",King,8,E John St & 22nd Ave E,11 - Madison Park - Seattle,Seattle,,47.620144,-122.303177
105,"Central District, Mann","Seattle, WA",King,8,E Madison St & 24th Ave E,11 - Madison Park - Seattle,Seattle,,47.620537,-122.300407
106,"Central District, Mann","Seattle, WA",King,8,E Madison St & Martin L King Jr Way E,11 - Madison Park - Seattle,Seattle,,47.622658,-122.297264
107,"Central District, Harrison/Denny-Blaine","Seattle, WA",King,11,E Madison St & 29th Ave E,11 - Madison Park - Seattle,Seattle,,47.624065,-122.295189
108,"Central District, Harrison/Denny-Blaine","Seattle, WA",King,11,E Madison St & Lake Washington Blvd,11 - Madison Park - Seattle,Seattle,,47.626152,-122.292099
109,"Central District, Harrison/Denny-Blaine","Seattle, WA",King,11,E Madison St & 33rd Ave E,11 - Madison Park - Seattle,Seattle,,47.628185,-122.289093
110,"Central District, Harrison/Denny-Blaine","Seattle, WA",King,11,E Madison St & 36th Ave E,11 - Madison Park - Seattle,Seattle,,47.629940,-122.286514
111,"Capitol Hill, Madison Park","Seattle, WA",King,11,E Madison St & 38th Ave E,11 - Madison Park - Seattle,Seattle,,47.631443,-122.284302
112,"Capitol Hill, Madison Park","Seattle, WA",King,11,E Madison St & 39th Ave E,11 - Madison Park - Seattle,Seattle,,47.632427,-122.282822
113,"Capitol Hill, Madison Park","Seattle, WA",King,11,E Madison St & 41st Ave E,11 - Madison Park - Seattle,Seattle,,47.634331,-122.280022
114,"Capitol Hill, Madison Park","Seattle, WA",King,11,43rd Ave E & E Blaine St,11 - Madison Park - Seattle,Seattle,,47.634884,-122.277046
115,"Capitol Hill, Madison Park","Seattle, WA",King,11,43rd Ave E & E Madison St,11 - Madison Park - Seattle,Seattle,,47.636631,-122.277016
116,"Capitol Hill, Madison Park","Seattle, WA",King,11,43rd Ave E & E Lynn St,11 - Madison Park - Seattle,Seattle,,47.639088,-122.276993
117,"Capitol Hill, Madison Park","Seattle, WA",King,11,E Mcgilvra St & 42nd Ave E,11 - Madison Park - Seattle,Seattle,,47.640774,-122.278122
118,"Belltown, Denny Regrade","Seattle, WA",King,5,Wall St & 5th Ave,21 - Arbor Heights - Westwood Village - West Seattle - Seattle,Seattle,,47.617504,-122.345268
119,Belltown,"Seattle, WA",King,1,3rd Ave & Bell St,21 - Arbor Heights - Westwood Village - West Seattle - Seattle,Seattle,,47.614300,-122.344269
120,Belltown,"Seattle, WA",King,1,3rd Ave & Virginia St,21 - Arbor Heights - Westwood Village - West Seattle - Seattle,Seattle,,47.612438,-122.341110
121,Central Business District,"Seattle, WA",King,21,3rd Ave & Pike St,21 - Arbor Heights - Westwood Village - West Seattle - Seattle,Seattle,,47.609791,-122.337959
122,Central Business District,"Seattle, WA",King,21,3rd Ave & Seneca St,21 - Arbor Heights - Westwood Village - West Seattle - Seattle,Seattle,,47.606442,-122.334900
123,Central Business District,"Seattle, WA",King,21,3rd Ave & Columbia St,21 - Arbor Heights - Westwood Village - West Seattle - Seattle,Seattle,,47.603580,-122.332275
124,Pioneer Square,"Seattle, WA",King,1,3rd Ave S & S Main St,21 - Arbor Heights - Westwood Village - West Seattle - Seattle,Seattle,,47.600239,-122.330376
125,Industrial District,"Seattle, WA",King,21,1st Ave S & S Atlantic St,21 - Arbor Heights - Westwood Village - West Seattle - Seattle,Seattle,,47.589901,-122.334297
126,Industrial District,"Seattle, WA",King,21,1st Ave S & S Holgate St,21 - Arbor Heights - Westwood Village - West Seattle - Seattle,Seattle,,47.585762,-122.334297
127,,"Seattle, WA",King,21,1st Ave S & S Walker St,21 - Arbor Heights - Westwood Village - West Seattle - Seattle,Seattle,,47.583652,-122.334297
128,Industrial District,"Seattle, WA",King,21,1st Ave S & S Stacy St,21 - Arbor Heights - Westwood Village - West Seattle - Seattle,Seattle,,47.581554,-122.334297
129,Industrial District,"Seattle, WA",King,21,1st Ave S & S Lander St,21 - Arbor Heights - Westwood Village - West Seattle - Seattle,Seattle,,47.579250,-122.334312
130,Industrial District,"Seattle, WA",King,21,1st Ave S & S Hanford St,21 - Arbor Heights - Westwood Village - West Seattle - Seattle,Seattle,,47.575752,-122.334312
131,Industrial District,"Seattle, WA",King,21,SW Spokane St & Chelan Ave SW,21 - Arbor Heights - Westwood Village - West Seattle - Seattle,Seattle,,47.571720,-122.363365
132,Industrial District,"Seattle, WA",King,21,SW Spokane St & 26th Ave SW,21 - Arbor Heights - Westwood Village - West Seattle - Seattle,Seattle,,47.571712,-122.366165
133,"Fairmount Park, West Seattle","Seattle, WA",King,21,SW Avalon Way & SW Bradford St,21 - Arbor Heights - Westwood Village - West Seattle - Seattle,Seattle,,47.568867,-122.370850
134,"Fairmount Park, West Seattle","Seattle, WA",King,21,SW Avalon Way & SW Genesee St,21 - Arbor Heights - Westwood Village - West Seattle - Seattle,Seattle,,47.564774,-122.372597
136,,"Seattle, WA",King,21,Columbia St & Alaskan Way,21 - Arbor Heights - Westwood Village - West Seattle - Seattle,Seattle,,47.602615,-122.336784
137,Pioneer Square,County:,King,21,Alaskan Way S & S Jackson St,21 - Arbor Heights - Westwood Village - West Seattle - Seattle,Seattle,,47.598717,-122.335960
138,"Fairmount Park, West Seattle","Seattle, WA",King,21,35th Ave SW & SW Avalon Way,21 - Arbor Heights - Westwood Village - West Seattle - Seattle,Seattle,,47.563503,-122.376305
139,"Fairmount Park, West Seattle","Seattle, WA",King,21,35th Ave SW & SW Edmunds St,21 - Arbor Heights - Westwood Village - West Seattle - Seattle,Seattle,,47.559006,-122.376343
140,"Fairmount Park, West Seattle","Seattle, WA",King,21,35th Ave SW & SW Hudson St,21 - Arbor Heights - Westwood Village - West Seattle - Seattle,Seattle,,47.557186,-122.376358
141,"Fairmount Park, West Seattle","Seattle, WA",King,21,35th Ave SW & SW Dawson St,21 - Arbor Heights - Westwood Village - West Seattle - Seattle,Seattle,,47.555370,-122.376373
142,"Fairmount Park, West Seattle","Seattle, WA",King,21,35th Ave SW & SW Findlay St,21 - Arbor Heights - Westwood Village - West Seattle - Seattle,Seattle,,47.551716,-122.376411
143,"Fairmount Park, West Seattle","Seattle, WA",King,21,35th Ave SW & SW Raymond St,21 - Arbor Heights - Westwood Village - West Seattle - Seattle,Seattle,,47.548080,-122.376480
144,"Gatewood, West Seattle","Seattle, WA",King,21,35th Ave SW & SW Morgan St,21 - Arbor Heights - Westwood Village - West Seattle - Seattle,Seattle,,47.544190,-122.376564
145,"Gatewood, West Seattle","Seattle, WA",King,21,35th Ave SW & SW Holly St,21 - Arbor Heights - Westwood Village - West Seattle - Seattle,Seattle,,47.542610,-122.376602
146,"Gatewood, West Seattle","Seattle, WA",King,21,35th Ave SW & SW Myrtle St,21 - Arbor Heights - Westwood Village - West Seattle - Seattle,Seattle,,47.538975,-122.376686
147,"Gatewood, West Seattle","Seattle, WA",King,21,35th Ave SW & SW Webster St,21 - Arbor Heights - Westwood Village - West Seattle - Seattle,Seattle,,47.535229,-122.376709
148,"Gatewood, West Seattle","Seattle, WA",King,21,35th Ave SW & SW Ida St,21 - Arbor Heights - Westwood Village - West Seattle - Seattle,Seattle,,47.533905,-122.376724
149,"Gatewood, West Seattle","Seattle, WA",King,21,35th Ave SW & SW Kenyon St,21 - Arbor Heights - Westwood Village - West Seattle - Seattle,Seattle,,47.531616,-122.376740
150,"Gatewood, West Seattle","Seattle, WA",King,21,35th Ave SW & SW Elmgrove St,21 - Arbor Heights - Westwood Village - West Seattle - Seattle,Seattle,,47.529922,-122.376740
151,"Fauntleroy, West Seattle","Seattle, WA",King,21,35th Ave SW & SW Thistle St,21 - Arbor Heights - Westwood Village - West Seattle - Seattle,Seattle,,47.528038,-122.376740
152,"Fauntleroy, West Seattle","Seattle, WA",King,21,35th Ave SW & SW Trenton St,21 - Arbor Heights - Westwood Village - West Seattle - Seattle,Seattle,,47.524403,-122.376755
153,"Fauntleroy, West Seattle","Seattle, WA",King,21,35th Ave SW & SW Henderson St,21 - Arbor Heights - Westwood Village - West Seattle - Seattle,Seattle,,47.522942,-122.376808
154,"Delridge, Roxhill","Seattle, WA",King,21,SW Barton St & 35th Ave SW,21 - Arbor Heights - Westwood Village - West Seattle - Seattle,Seattle,,47.521000,-122.376358
155,"Delridge, Roxhill","Seattle, WA",King,21,SW Barton St & 26th Ave SW - Bay 1,21 - Arbor Heights - Westwood Village - West Seattle - Seattle,Seattle,,47.520962,-122.367355
156,"Delridge, Roxhill","Seattle, WA",King,21,SW Roxbury St & 28th Ave SW,21 - Arbor Heights - Westwood Village - West Seattle - Seattle,Seattle,,47.517456,-122.368050
157,"Fauntleroy, West Seattle","Seattle, WA",King,21,35th Ave SW & SW Barton St,21 - Arbor Heights - Westwood Village - West Seattle - Seattle,Seattle,,47.520824,-122.376877
158,"Fauntleroy, West Seattle","Seattle, WA",King,21,35th Ave SW & SW Cambridge St,21 - Arbor Heights - Westwood Village - West Seattle - Seattle,Seattle,,47.519039,-122.376900
159,"Arbor Heights, West Seattle","Seattle, WA",King,21,35th Ave SW & SW Roxbury St,21 - Arbor Heights - Westwood Village - West Seattle - Seattle,Seattle,,47.516853,-122.376900
160,"Arbor Heights, West Seattle","Seattle, WA",King,21,SW 100th St & 35th Ave SW,21 - Arbor Heights - Westwood Village - West Seattle - Seattle,Seattle,,47.513794,-122.376945
161,"Arbor Heights, West Seattle","Seattle, WA",King,21,SW 100th St & 37th Ave SW,21 - Arbor Heights - Westwood Village - West Seattle - Seattle,Seattle,,47.513809,-122.379280
162,"Arbor Heights, West Seattle","Seattle, WA",King,21,SW 100th St & 39th Ave SW,21 - Arbor Heights - Westwood Village - West Seattle - Seattle,Seattle,,47.513821,-122.382149
163,"Arbor Heights, West Seattle","Seattle, WA",King,21,SW 100th St & 41st Ave SW,21 - Arbor Heights - Westwood Village - West Seattle - Seattle,Seattle,,47.513836,-122.384758
164,"Arbor Heights, West Seattle","Seattle, WA",King,21,SW 100th St & 42nd Ave SW,21 - Arbor Heights - Westwood Village - West Seattle - Seattle,Seattle,,47.513840,-122.386086
165,"Arbor Heights, West Seattle","Seattle, WA",King,21,44th Ave SW & SW 100th St,21 - Arbor Heights - Westwood Village - West Seattle - Seattle,Seattle,,47.513500,-122.388695
166,"Arbor Heights, West Seattle","Seattle, WA",King,21,44th Ave SW & Marine View Dr SW,21 - Arbor Heights - Westwood Village - West Seattle - Seattle,Seattle,,47.510818,-122.388824
167,"Fauntleroy, West Seattle","Seattle, WA",King,21,Marine View Dr SW & SW 104th St,21 - Arbor Heights - Westwood Village - West Seattle - Seattle,Seattle,,47.509960,-122.388214
168,"Arbor Heights, West Seattle","Seattle, WA",King,21,SW 106th St & California Ave SW,21 - Arbor Heights - Westwood Village - West Seattle - Seattle,Seattle,,47.508213,-122.386742
169,"Arbor Heights, West Seattle","Seattle, WA",King,21,SW 106th St & 41st Ave SW,21 - Arbor Heights - Westwood Village - West Seattle - Seattle,Seattle,,47.508190,-122.384331
170,"Arbor Heights, West Seattle","Seattle, WA",King,21,SW 106th St & 39th Ave SW,21 - Arbor Heights - Westwood Village - West Seattle - Seattle,Seattle,,47.508167,-122.381653
171,"Arbor Heights, West Seattle","Seattle, WA",King,21,39th Ave SW & Marine View Dr SW,21 - Arbor Heights - Westwood Village - West Seattle - Seattle,Seattle,,47.506519,-122.381599
172,"Arbor Heights, West Seattle","Seattle, WA",King,21,Marine View Dr SW & SW 110th St,21 - Arbor Heights - Westwood Village - West Seattle - Seattle,Seattle,,47.504662,-122.380615
173,"Arbor Heights, West Seattle","Seattle, WA",King,21,Marine View Dr SW & SW 112th St,21 - Arbor Heights - Westwood Village - West Seattle - Seattle,Seattle,,47.502823,-122.380943
174,"Arbor Heights, West Seattle","Seattle, WA",King,21,Marine View Dr SW & SW Ocean View Dr,21 - Arbor Heights - Westwood Village - West Seattle - Seattle,Seattle,,47.500572,-122.379417
176,"Arbor Heights, West Seattle","Seattle, WA",King,21,35th Ave SW & 37th Ave SW,21 - Arbor Heights - Westwood Village - West Seattle - Seattle,Seattle,,47.499927,-122.376083
177,"Arbor Heights, West Seattle","Seattle, WA",King,21,35th Ave SW & SW 114th St,21 - Arbor Heights - Westwood Village - West Seattle - Seattle,Seattle,,47.501240,-122.376053
