Districts/Neighborhoods,Address,County,Coordinates,OneBusAway Stop ID,Routes Served,Name,Route,Route Type,Agency Stop ID,Parking Spots
"Magnolia, Southeast Magnolia","Seattle, WA",King,"47.646347, -122.384758",1_31270,31,22nd Ave W & W Barrett St,31 - Children's Hospital - University District - Magnolia,Seattle,,
"Magnolia, Southeast Magnolia","Seattle, WA",King,"47.644539, -122.384743",1_31280,31,22nd Ave W & W Armour St,31 - Children's Hospital - University District - Magnolia,Seattle,,
"Magnolia, Southeast Magnolia","Seattle, WA",King,"47.643047, -122.384720",1_31290,31,22nd Ave W & Thorndyke Ave W,31 - Children's Hospital - University District - Magnolia,Seattle,,
"Magnolia, Southeast Magnolia","Seattle, WA",King,"47.640659, -122.386398",1_31300,31,Thorndyke Ave W & 23rd Ave W,31 - Children's Hospital - University District - Magnolia,Seattle,,
"Magnolia, Southeast Magnolia","Seattle, WA",King,"47.639835, -122.387108",1_31310,31,Thorndyke Ave W & Thorndyke Pl W,31 - Children's Hospital - University District - Magnolia,Seattle,,
"Magnolia, Southeast Magnolia","Seattle, WA",King,"47.638294, -122.388252",1_31320,31,Thorndyke Ave W & W Boston St,31 - Children's Hospital - University District - Magnolia,Seattle,,
"Magnolia, Southeast Magnolia","Seattle, WA",King,"47.636757, -122.389404",1_31330,31,Thorndyke Ave W & W Newton St,31 - Children's Hospital - University District - Magnolia,Seattle,,
"Magnolia, Southeast Magnolia","Seattle, WA",King,"47.634792, -122.391106",1_40078,31,Thorndyke Ave W & W Blaine St,31 - Children's Hospital - University District - Magnolia,Seattle,,
"Magnolia, Southeast Magnolia","Seattle, WA",King,"47.634918, -122.392952",1_20890,24,28th Ave W & W Blaine St,31 - Children's Hospital - University District - Magnolia,Seattle,,
"Magnolia, Southeast Magnolia","Seattle, WA",King,"47.637577, -122.395409",1_20910,31,Condon Way W & W Crockett St,31 - Children's Hospital - University District - Magnolia,Seattle,,
Laurelhurst,"Seattle, WA",King,"47.661541, -122.280174",1_29091,31,NE 45th St & 45th Ave NE,32 - Children's Hospital - University District - Seattle Center,Seattle,,
Laurelhurst,"Seattle, WA",King,"47.661346, -122.282616",1_29100,31,NE 45th St & 42nd Ave NE,32 - Children's Hospital - University District - Seattle Center,Seattle,,
,"Seattle, WA",King,"47.661335, -122.284637",1_29110,31,NE 45th St & 40th Ave NE,32 - Children's Hospital - University District - Seattle Center,Seattle,,
Bryant,"Seattle, WA",King,"47.661205, -122.289627",1_29130,31,NE 45th St & 36th Ave NE,32 - Children's Hospital - University District - Seattle Center,Seattle,,
,"Seattle, WA",King,"47.661278, -122.295418",1_25202,31,NE 45th St & University Village,32 - Children's Hospital - University District - Seattle Center,Seattle,,
,"Seattle, WA",King,"47.661327, -122.306923",1_11357,31,NE 45th St & 20th Ave NE,32 - Children's Hospital - University District - Seattle Center,Seattle,,
,"Seattle, WA",King,"47.661327, -122.310120",1_11356,31,NE 45th St & 17th Ave NE,32 - Children's Hospital - University District - Seattle Center,Seattle,,
,"Seattle, WA",King,"47.661339, -122.313614",1_11358,31,NE 45th St & University Way NE - Bay 2,32 - Children's Hospital - University District - Seattle Center,Seattle,,
University District,"Seattle, WA",King,"47.660953, -122.317818",1_9605,31,Roosevelt Way NE & NE 45th St,32 - Children's Hospital - University District - Seattle Center,Seattle,,
University District,"Seattle, WA",King,"47.658455, -122.317879",1_9610,31,Roosevelt Way NE & NE 42nd St,32 - Children's Hospital - University District - Seattle Center,Seattle,,
University District,"Seattle, WA",King,"47.657589, -122.320366",1_5402,31,NE 42nd St & 8th Ave NE,32 - Children's Hospital - University District - Seattle Center,Seattle,,
,"Seattle, WA",King,"47.655613, -122.327423",1_26369,31,NE 40th St & 1st Ave NE,32 - Children's Hospital - University District - Seattle Center,Seattle,,
Wallingford,"Seattle, WA",King,"47.655628, -122.329376",1_26370,31,N 40th St & Eastern Ave N,32 - Children's Hospital - University District - Seattle Center,Seattle,,
,"Seattle, WA",King,"47.655666, -122.333145",1_26381,31,N 40th St & Bagley Ave N,32 - Children's Hospital - University District - Seattle Center,Seattle,,
Wallingford,"Seattle, WA",King,"47.655716, -122.336098",1_26400,31,N 40th St & Wallingford Ave N,32 - Children's Hospital - University District - Seattle Center,Seattle,,
Wallingford,"Seattle, WA",King,"47.654091, -122.336388",1_26410,31,Wallingford Ave N & N 39th St,32 - Children's Hospital - University District - Seattle Center,Seattle,,
Wallingford,"Seattle, WA",King,"47.651783, -122.336411",1_26430,31,Wallingford Ave N & N 37th St,32 - Children's Hospital - University District - Seattle Center,Seattle,,
Wallingford,"Seattle, WA",King,"47.649262, -122.336823",1_26450,31,N 35th St & Wallingford Ave N,32 - Children's Hospital - University District - Seattle Center,Seattle,,
Wallingford,"Seattle, WA",King,"47.649281, -122.339073",1_26460,31,N 35th St & Woodlawn Ave N,32 - Children's Hospital - University District - Seattle Center,Seattle,,
Fremont,"Seattle, WA",King,"47.649574, -122.343216",1_26480,31,N 35th St & Stone Way N,32 - Children's Hospital - University District - Seattle Center,Seattle,,
Fremont,"Seattle, WA",King,"47.650250, -122.347549",1_26490,31,N 35th St & Troll Ave N,32 - Children's Hospital - University District - Seattle Center,Seattle,,
Fremont,"Seattle, WA",King,"47.649735, -122.349869",1_26510,31,Fremont Ave N & N 34th St,32 - Children's Hospital - University District - Seattle Center,Seattle,,
Queen Anne,"Seattle, WA",King,"47.647102, -122.351685",1_18600,31,Nickerson St & 3rd Ave N,32 - Children's Hospital - University District - Seattle Center,Seattle,,
Queen Anne,"Seattle, WA",King,"47.648811, -122.355431",1_18610,31,Nickerson St & Warren Ave N,32 - Children's Hospital - University District - Seattle Center,Seattle,,
Queen Anne,"Seattle, WA",King,"47.649681, -122.357300",1_18620,31,Nickerson St & Cremona St,32 - Children's Hospital - University District - Seattle Center,Seattle,,
Queen Anne,"Seattle, WA",King,"47.650986, -122.361244",1_18630,31,W Nickerson St & 3rd Ave W,32 - Children's Hospital - University District - Seattle Center,Seattle,,
Queen Anne,"Seattle, WA",King,"47.651791, -122.364815",1_18640,31,W Nickerson St & 6th Ave W,32 - Children's Hospital - University District - Seattle Center,Seattle,,
Queen Anne,"Seattle, WA",King,"47.652348, -122.367241",1_18650,31,W Nickerson St & 8th Ave W,32 - Children's Hospital - University District - Seattle Center,Seattle,,
Queen Anne,"Seattle, WA",King,"47.653969, -122.370102",1_18660,31,W Nickerson St & Jesse Ave W,32 - Children's Hospital - University District - Seattle Center,Seattle,,
Queen Anne,"Seattle, WA",King,"47.654903, -122.371696",1_18670,31,W Nickerson St & 11th Ave W,32 - Children's Hospital - University District - Seattle Center,Seattle,,
Interbay,"Seattle, WA",King,"47.648064, -122.376877",1_13800,32,15th Ave W & W Dravus St,32 - Children's Hospital - University District - Seattle Center,Seattle,,
Interbay,"Seattle, WA",King,"47.644825, -122.376328",1_13810,32,15th Ave W & W Armour St,32 - Children's Hospital - University District - Seattle Center,Seattle,,
Interbay,"Seattle, WA",King,"47.640183, -122.376312",1_13830,32,15th Ave W & W Wheeler St,32 - Children's Hospital - University District - Seattle Center,Seattle,,
Interbay,"Seattle, WA",King,"47.637287, -122.376305",1_13840,32,15th Ave W & W Armory Way,32 - Children's Hospital - University District - Seattle Center,Seattle,,
Interbay,"Seattle, WA",King,"47.631882, -122.375305",1_13870,24,Elliott Ave W & W Galer St,32 - Children's Hospital - University District - Seattle Center,Seattle,,
Interbay,"Seattle, WA",King,"47.629135, -122.371849",1_13890,17,Elliott Ave W & W Prospect St,32 - Children's Hospital - University District - Seattle Center,Seattle,,
Queen Anne,"Seattle, WA",King,"47.624531, -122.360809",1_13910,32,W Mercer St & 3rd Ave W,32 - Children's Hospital - University District - Seattle Center,Seattle,,
Queen Anne,"Seattle, WA",King,"47.624062, -122.356812",1_2672,1,Queen Anne Ave N & W Mercer St,32 - Children's Hospital - University District - Seattle Center,Seattle,,
Queen Anne,"Seattle, WA",King,"47.621834, -122.356819",1_2180,1,Queen Anne Ave N & W Harrison St,32 - Children's Hospital - University District - Seattle Center,Seattle,,
Industrial District,"Seattle, WA",King,"47.593342, -122.328957",1_30635,5,4th Ave S & S Royal Brougham Way,33 - Discovery Park - East Magnolia - Seattle,Seattle,,
International District,"Seattle, WA",King,"47.599827, -122.328972",1_619,5,4th Ave S & S Jackson St,33 - Discovery Park - East Magnolia - Seattle,Seattle,,
Pioneer Square,"Seattle, WA",King,"47.601780, -122.329803",1_1370,27,Yesler Way & 3rd Ave,33 - Discovery Park - East Magnolia - Seattle,Seattle,,
Pioneer Square,"Seattle, WA",King,"47.602642, -122.331184",1_531,5,3rd Ave & James St,33 - Discovery Park - East Magnolia - Seattle,Seattle,,
Central Business District,"Seattle, WA",King,"47.605541, -122.333832",1_548,5,3rd Ave & Madison St,33 - Discovery Park - East Magnolia - Seattle,Seattle,,
Central Business District,"Seattle, WA",King,"47.608688, -122.336700",1_570,5,3rd Ave & Union St,33 - Discovery Park - East Magnolia - Seattle,Seattle,,
Central Business District,"Seattle, WA",King,"47.611137, -122.338951",1_590,5,3rd Ave & Pine St,33 - Discovery Park - East Magnolia - Seattle,Seattle,,
"Belltown, Denny Regrade","Seattle, WA",King,"47.612995, -122.341743",1_600,1,3rd Ave & Virginia St,33 - Discovery Park - East Magnolia - Seattle,Seattle,,
"Belltown, Denny Regrade","Seattle, WA",King,"47.615120, -122.345337",1_605,1,3rd Ave & Bell St,33 - Discovery Park - East Magnolia - Seattle,Seattle,,
"Belltown, Denny Regrade","Seattle, WA",King,"47.616959, -122.348450",1_1690,1,3rd Ave & Vine St,33 - Discovery Park - East Magnolia - Seattle,Seattle,,
,"Seattle, WA",King,"47.618660, -122.352615",1_20829,2,Denny Way & 2nd Ave N,33 - Discovery Park - East Magnolia - Seattle,Seattle,,
Queen Anne,"Seattle, WA",King,"47.618656, -122.356606",1_19440,17,Denny Way & Queen Anne Ave N,33 - Discovery Park - East Magnolia - Seattle,Seattle,,
Queen Anne,"Seattle, WA",King,"47.619965, -122.359512",1_19460,24,Western Ave W & Elliott Ave W,33 - Discovery Park - East Magnolia - Seattle,Seattle,,
Queen Anne,"Seattle, WA",King,"47.621441, -122.361740",1_19470,17,Elliott Ave W & 4th Ave W,33 - Discovery Park - East Magnolia - Seattle,Seattle,,
Queen Anne,"Seattle, WA",King,"47.623394, -122.364059",1_19480,24,Elliott Ave W & 6th Ave W,33 - Discovery Park - East Magnolia - Seattle,Seattle,,
Queen Anne,"Seattle, WA",King,"47.625282, -122.366394",1_19490,24,Elliott Ave W & W Mercer St,33 - Discovery Park - East Magnolia - Seattle,Seattle,,
Queen Anne,"Seattle, WA",King,"47.626415, -122.367958",1_19500,24,Elliott Ave W & W Mercer Pl,33 - Discovery Park - East Magnolia - Seattle,Seattle,,
West Queen Anne,"Seattle, WA",King,"47.629013, -122.371414",1_14070,17,Elliott Ave W & W Prospect St,33 - Discovery Park - East Magnolia - Seattle,Seattle,,
Interbay,"Seattle, WA",King,"47.634010, -122.391762",1_20880,24,Thorndyke Ave W & W Hayes St,33 - Discovery Park - East Magnolia - Seattle,Seattle,,
Interbay,"Seattle, WA",King,"47.635330, -122.390259",1_31350,31,Thorndyke Ave W & W Blaine St,33 - Discovery Park - East Magnolia - Seattle,Seattle,,
Interbay,"Seattle, WA",King,"47.637184, -122.388649",1_31360,31,Thorndyke Ave W & W Newton St,33 - Discovery Park - East Magnolia - Seattle,Seattle,,
Interbay,"Seattle, WA",King,"47.638340, -122.387787",1_31370,31,Thorndyke Ave W & W Boston St,33 - Discovery Park - East Magnolia - Seattle,Seattle,,
Interbay,"Seattle, WA",King,"47.639305, -122.387062",1_31380,31,Thorndyke Ave W & W Lynn St,33 - Discovery Park - East Magnolia - Seattle,Seattle,,
Interbay,"Seattle, WA",King,"47.640808, -122.386055",1_31390,31,Thorndyke Ave W & 23rd Ave W,33 - Discovery Park - East Magnolia - Seattle,Seattle,,
"Magnolia, Southeast Magnolia","Seattle, WA",King,"47.643402, -122.384537",1_31400,31,22nd Ave W & Thorndyke Ave W,33 - Discovery Park - East Magnolia - Seattle,Seattle,,
"Magnolia, Southeast Magnolia","Seattle, WA",King,"47.645058, -122.384552",1_31410,31,22nd Ave W & W Armour St,33 - Discovery Park - East Magnolia - Seattle,Seattle,,
"Magnolia, Southeast Magnolia","Seattle, WA",King,"47.646801, -122.384552",1_31420,31,22nd Ave W & W Barrett St,33 - Discovery Park - East Magnolia - Seattle,Seattle,,
"Lawton Park, Magnolia","Seattle, WA",King,"47.648716, -122.384567",1_31430,31,22nd Ave W & W Dravus St,33 - Discovery Park - East Magnolia - Seattle,Seattle,,
"Lawton Park, Magnolia","Seattle, WA",King,"47.650520, -122.384567",1_31440,31,22nd Ave W & W Bertona St,33 - Discovery Park - East Magnolia - Seattle,Seattle,,
"Lawton Park, Magnolia","Seattle, WA",King,"47.652100, -122.384583",1_31450,31,22nd Ave W & W Ruffner St,33 - Discovery Park - East Magnolia - Seattle,Seattle,,
"Lawton Park, Magnolia","Seattle, WA",King,"47.653320, -122.384567",1_31460,31,22nd Ave W & Gilman Ave W,33 - Discovery Park - East Magnolia - Seattle,Seattle,,
Interbay,"Seattle, WA",King,"47.655704, -122.386139",1_40073,31,Gilman Ave W & W Emerson Pl,33 - Discovery Park - East Magnolia - Seattle,Seattle,,
Interbay,"Seattle, WA",King,"47.658089, -122.389130",1_31481,33,Gilman Ave W & W Elmore St,33 - Discovery Park - East Magnolia - Seattle,Seattle,,
Interbay,"Seattle, WA",King,"47.659683, -122.391151",1_31500,33,Gilman Ave W & 27th Ave W,33 - Discovery Park - East Magnolia - Seattle,Seattle,,
Interbay,"Seattle, WA",King,"47.660851, -122.393036",1_31510,33,Gilman Ave W & 28th Pl W,33 - Discovery Park - East Magnolia - Seattle,Seattle,,
"Lawton Park, Magnolia","Seattle, WA",King,"47.661072, -122.398148",1_31530,33,W Government Way & 31st Ave W,33 - Discovery Park - East Magnolia - Seattle,Seattle,,
"Lawton Park, Magnolia","Seattle, WA",King,"47.660004, -122.399757",1_24680,24,W Government Way & 33rd Ave W,33 - Discovery Park - East Magnolia - Seattle,Seattle,,
"Lawton Park, Magnolia","Seattle, WA",King,"47.658440, -122.403305",1_31550,33,W Government Way & 36th Ave W,33 - Discovery Park - East Magnolia - Seattle,Seattle,,
"Lawton Park, Magnolia","Seattle, WA",King,"47.662315, -122.405441",1_31552,33,Texas Way & W Government Way,33 - Discovery Park - East Magnolia - Seattle,Seattle,,
"Lawton Park, Magnolia","Seattle, WA",King,"47.664749, -122.410904",1_31140,33,Discovery Park Road & Texas Way,33 - Discovery Park - East Magnolia - Seattle,Seattle,,
"Lawton Park, Magnolia","Seattle, WA",King,"47.662239, -122.405647",1_31547,33,Texas Way & W Government Way,33 - Discovery Park - East Magnolia - Seattle,Seattle,,
"Lawton Park, Magnolia","Seattle, WA",King,"47.658321, -122.403145",1_31150,33,W Government Way & 36th Ave W,33 - Discovery Park - East Magnolia - Seattle,Seattle,,
"Lawton Park, Magnolia","Seattle, WA",King,"47.659573, -122.400505",1_24360,24,W Government Way & 34th Ave W,33 - Discovery Park - East Magnolia - Seattle,Seattle,,
International District,"Seattle, WA",King,"47.599827, -122.328972",1_619,5,4th Ave S & S Jackson St,40 - Northgate - Ballard - Seattle,Seattle,,
Pioneer Square,"Seattle, WA",King,"47.602642, -122.331184",1_531,5,3rd Ave & James St,40 - Northgate - Ballard - Seattle,Seattle,,
Central Business District,"Seattle, WA",King,"47.605541, -122.333832",1_548,5,3rd Ave & Madison St,40 - Northgate - Ballard - Seattle,Seattle,,
Central Business District,"Seattle, WA",King,"47.608688, -122.336700",1_570,5,3rd Ave & Union St,40 - Northgate - Ballard - Seattle,Seattle,,
Central Business District,"Seattle, WA",King,"47.611137, -122.338951",1_590,5,3rd Ave & Pine St,40 - Northgate - Ballard - Seattle,Seattle,,
"Belltown, Denny Regrade","Seattle, WA",King,"47.612995, -122.341743",1_600,1,3rd Ave & Virginia St,40 - Northgate - Ballard - Seattle,Seattle,,
"Belltown, Denny Regrade","Seattle, WA",King,"47.615856, -122.340881",1_18440,40,Blanchard St & 6th Ave,40 - Northgate - Ballard - Seattle,Seattle,,
,"Seattle, WA",King,"47.618031, -122.338402",,40,Westlake Ave & 9th Ave,40 - Northgate - Ballard - Seattle,Seattle,,
Cascade,"Seattle, WA",King,"47.621849, -122.338356",1_26715,40,Westlake Ave N & Harrison St,40 - Northgate - Ballard - Seattle,Seattle,,
Cascade,"Seattle, WA",King,"47.625504, -122.338394",1_26730,40,Westlake Ave N & Mercer St,40 - Northgate - Ballard - Seattle,Seattle,,
"Cascade, Westlake","Seattle, WA",King,"47.629948, -122.340897",1_26760,40,Westlake Ave N & Highland Dr,40 - Northgate - Ballard - Seattle,Seattle,,
"Cascade, Westlake","Seattle, WA",King,"47.632725, -122.340706",1_26770,40,Westlake Ave N & Galer St,40 - Northgate - Ballard - Seattle,Seattle,,
"Cascade, Westlake","Seattle, WA",King,"47.635380, -122.340317",1_26780,40,Westlake Ave N & 8th Ave N,40 - Northgate - Ballard - Seattle,Seattle,,
Queen Anne,"Seattle, WA",King,"47.638165, -122.340775",1_26800,40,Westlake Ave N & Crockett St,40 - Northgate - Ballard - Seattle,Seattle,,
Queen Anne,"Seattle, WA",King,"47.644134, -122.345032",1_26840,40,Westlake Ave N & Westlake Ave N,40 - Northgate - Ballard - Seattle,Seattle,,
Queen Anne,"Seattle, WA",King,"47.645569, -122.348434",1_26850,40,Westlake Ave N & Westlake Aly,40 - Northgate - Ballard - Seattle,Seattle,,
Fremont,"Seattle, WA",King,"47.649860, -122.349678",1_26860,31,Fremont Ave N & N 34th St,40 - Northgate - Ballard - Seattle,Seattle,,
Fremont,"Seattle, WA",King,"47.651936, -122.352791",1_28350,40,N 36th St & Dayton Ave N,40 - Northgate - Ballard - Seattle,Seattle,,
Fremont,"Seattle, WA",King,"47.653156, -122.358185",1_28370,40,NW 36th St & 1st Ave NW,40 - Northgate - Ballard - Seattle,Seattle,,
Fremont,"Seattle, WA",King,"47.655521, -122.361275",1_28390,40,Leary Way NW & 3rd Ave NW,40 - Northgate - Ballard - Seattle,Seattle,,
Fremont,"Seattle, WA",King,"47.658680, -122.364349",1_28410,28,Leary Way NW & NW 43rd St,40 - Northgate - Ballard - Seattle,Seattle,,
"Ballard, West Woodland","Seattle, WA",King,"47.661015, -122.366600",1_28415,40,Leary Way NW & 8th Ave NW,40 - Northgate - Ballard - Seattle,Seattle,,
"Ballard, West Woodland","Seattle, WA",King,"47.663727, -122.371246",1_28416,40,NW Leary Way & 11th Ave NW,40 - Northgate - Ballard - Seattle,Seattle,,
"Adams, Ballard","Seattle, WA",King,"47.663731, -122.377090",1_18696,40,NW Leary Way & 15th Ave NW,40 - Northgate - Ballard - Seattle,Seattle,,
"Adams, Ballard","Seattle, WA",King,"47.665321, -122.380417",1_18152,40,Leary Ave NW & NW Dock Pl,40 - Northgate - Ballard - Seattle,Seattle,,
"Adams, Ballard","Seattle, WA",King,"47.667164, -122.382584",1_18720,40,Leary Ave NW & NW Vernon Pl,40 - Northgate - Ballard - Seattle,Seattle,,
"Adams, Ballard","Seattle, WA",King,"47.668747, -122.386124",1_18740,17,NW Market St & Ballard Ave NW,40 - Northgate - Ballard - Seattle,Seattle,,
"Adams, Ballard","Seattle, WA",King,"47.670299, -122.387489",1_19510,40,24th Ave NW & NW 57th St,40 - Northgate - Ballard - Seattle,Seattle,,
"Adams, Ballard","Seattle, WA",King,"47.673363, -122.387489",1_19530,40,24th Ave NW & NW 61st St,40 - Northgate - Ballard - Seattle,Seattle,,
"Ballard, Loyal Heights","Seattle, WA",King,"47.676140, -122.387436",1_19550,40,24th Ave NW & NW 65th St,40 - Northgate - Ballard - Seattle,Seattle,,
"Ballard, Loyal Heights","Seattle, WA",King,"47.679733, -122.387451",1_19570,40,24th Ave NW & NW 70th St,40 - Northgate - Ballard - Seattle,Seattle,,
"Ballard, Loyal Heights","Seattle, WA",King,"47.683372, -122.387459",1_19590,40,24th Ave NW & NW 75th St,40 - Northgate - Ballard - Seattle,Seattle,,
"Ballard, Loyal Heights","Seattle, WA",King,"47.685150, -122.387489",1_19600,40,24th Ave NW & NW 77th St,40 - Northgate - Ballard - Seattle,Seattle,,
"Ballard, Loyal Heights","Seattle, WA",King,"47.687000, -122.387505",1_19610,40,24th Ave NW & NW 80th St,40 - Northgate - Ballard - Seattle,Seattle,,
"Ballard, Loyal Heights","Seattle, WA",King,"47.688602, -122.387505",1_19620,40,24th Ave NW & NW 83rd St,40 - Northgate - Ballard - Seattle,Seattle,,
"Ballard, Loyal Heights","Seattle, WA",King,"47.690517, -122.384018",1_35570,40,NW 85th St & 22nd Ave NW,40 - Northgate - Ballard - Seattle,Seattle,,
"Ballard, Loyal Heights","Seattle, WA",King,"47.690525, -122.381874",1_35580,40,NW 85th St & 20th Ave NW,40 - Northgate - Ballard - Seattle,Seattle,,
Crown Hill,"Seattle, WA",King,"47.690956, -122.376709",1_14360,40,15th Ave NW & NW 85th St,40 - Northgate - Ballard - Seattle,Seattle,,
Crown Hill,"Seattle, WA",King,"47.694752, -122.375290",1_40050,40,Holman Rd NW & Mary Ave NW,40 - Northgate - Ballard - Seattle,Seattle,,
Crown Hill,"Seattle, WA",King,"47.696407, -122.372314",1_40052,40,Holman Rd NW & 13th Ave NW,40 - Northgate - Ballard - Seattle,Seattle,,
Crown Hill,"Seattle, WA",King,"47.698441, -122.368393",1_40054,40,Holman Rd NW & 9th Ave NW,40 - Northgate - Ballard - Seattle,Seattle,,
Greenwood,"Seattle, WA",King,"47.700440, -122.364441",1_40056,40,Holman Rd NW & 7th Ave NW,40 - Northgate - Ballard - Seattle,Seattle,,
Greenwood,"Seattle, WA",King,"47.702496, -122.360390",1_40058,40,Holman Rd NW & 3rd Ave NW,40 - Northgate - Ballard - Seattle,Seattle,,
Greenwood,"Seattle, WA",King,"47.704659, -122.356094",1_40060,40,Holman Rd N & Greenwood Ave N,40 - Northgate - Ballard - Seattle,Seattle,,
Greenwood,"Seattle, WA",King,"47.705006, -122.349770",1_40065,40,N 105th St & Fremont Ave N,40 - Northgate - Ballard - Seattle,Seattle,,
Northgate,"Seattle, WA",King,"47.704979, -122.344170",1_40068,40,N Northgate Way & Aurora Ave N,40 - Northgate - Ballard - Seattle,Seattle,,
Northgate,"Seattle, WA",King,"47.704975, -122.341675",1_40070,40,N Northgate Way & Stone Ave N,40 - Northgate - Ballard - Seattle,Seattle,,
Northgate,"Seattle, WA",King,"47.708210, -122.334091",1_16960,40,Meridian Ave N & N Northgate Way,40 - Northgate - Ballard - Seattle,Seattle,,
Northgate,"Seattle, WA",King,"47.705120, -122.334038",1_16980,40,Meridian Ave N & N 105th St,40 - Northgate - Ballard - Seattle,Seattle,,
Northgate,"Seattle, WA",King,"47.703052, -122.334106",1_16990,40,College Way N & N 103rd St,40 - Northgate - Ballard - Seattle,Seattle,,
Northgate,"Seattle, WA",King,"47.699341, -122.335297",1_17010,40,College Way N & N 97th St,40 - Northgate - Ballard - Seattle,Seattle,,
Northgate,"Seattle, WA",King,"47.695854, -122.330673",1_17022,40,N 92nd St & Corliss Ave N,40 - Northgate - Ballard - Seattle,Seattle,,
"Maple Leaf, Northgate","Seattle, WA",King,"47.697922, -122.328354",1_17024,40,1st Ave NE & NE 95th St,40 - Northgate - Ballard - Seattle,Seattle,,
,"Seattle, WA",King,"47.702808, -122.328423",1_35317,40,1st Ave NE & NE 103rd St - Bay 1,40 - Northgate - Ballard - Seattle,Seattle,,
Bryant,"Seattle, WA",King,"47.662743, -122.285202",1_9978,45,Sand Point Way NE & 40th Ave NE,45 - Loyal Heights - University District - Seattle Children's Hospital,Seattle,,
Bryant,"Seattle, WA",King,"47.661205, -122.289627",1_29130,31,NE 45th St & 36th Ave NE,45 - Loyal Heights - University District - Seattle Children's Hospital,Seattle,,
,"Seattle, WA",King,"47.661278, -122.295418",1_25202,31,NE 45th St & University Village,45 - Loyal Heights - University District - Seattle Children's Hospital,Seattle,,
University District,"Seattle, WA",King,"47.661049, -122.298904",1_25210,45,Montlake Blvd NE & NE 45th St,45 - Loyal Heights - University District - Seattle Children's Hospital,Seattle,,
University District,"Seattle, WA",King,"47.656742, -122.304886",1_75406,45,Stevens Way & Pend Oreille Rd,45 - Loyal Heights - University District - Seattle Children's Hospital,Seattle,,
University District,"Seattle, WA",King,"47.654503, -122.305130",1_75403,45,Stevens Way & Benton Ln,45 - Loyal Heights - University District - Seattle Children's Hospital,Seattle,,
University District,"Seattle, WA",King,"47.652389, -122.306305",1_75402,45,Stevens Way & Rainier Vis,45 - Loyal Heights - University District - Seattle Children's Hospital,Seattle,,
University District,"Seattle, WA",King,"47.652172, -122.308624",1_75404,45,Stevens Way & Garfield Ln,45 - Loyal Heights - University District - Seattle Children's Hospital,Seattle,,
University District,"Seattle, WA",King,"47.655140, -122.310974",1_75405,45,Grant Ln & Stevens Way,45 - Loyal Heights - University District - Seattle Children's Hospital,Seattle,,
University District,"Seattle, WA",King,"47.657387, -122.313133",1_9581,45,University Way NE & NE 41st St,45 - Loyal Heights - University District - Seattle Children's Hospital,Seattle,,
University District,"Seattle, WA",King,"47.659683, -122.313065",1_9582,45,University Way NE & NE 43rd St,45 - Loyal Heights - University District - Seattle Children's Hospital,Seattle,,
University District,"Seattle, WA",King,"47.662067, -122.313011",1_9584,45,University Way NE & NE 45th St,45 - Loyal Heights - University District - Seattle Children's Hospital,Seattle,,
University District,"Seattle, WA",King,"47.666607, -122.311813",1_36890,45,15th Ave NE & NE 52nd St,45 - Loyal Heights - University District - Seattle Children's Hospital,Seattle,,
University District,"Seattle, WA",King,"47.670456, -122.311798",1_36910,45,15th Ave NE & NE Ravenna Blvd,45 - Loyal Heights - University District - Seattle Children's Hospital,Seattle,,
University District,"Seattle, WA",King,"47.665379, -122.312973",1_37350,45,University Way NE & NE 50th St,45 - Loyal Heights - University District - Seattle Children's Hospital,Seattle,,
University District,"Seattle, WA",King,"47.668766, -122.312920",1_37352,45,University Way NE & NE 55th St,45 - Loyal Heights - University District - Seattle Children's Hospital,Seattle,,
University District,"Seattle, WA",King,"47.670776, -122.312927",1_37353,45,University Way NE & NE Ravenna Blvd,45 - Loyal Heights - University District - Seattle Children's Hospital,Seattle,,
,"Seattle, WA",King,"47.675865, -122.313545",1_36931,45,NE 65th St & 14th Ave NE,45 - Loyal Heights - University District - Seattle Children's Hospital,Seattle,,
Roosevelt,"Seattle, WA",King,"47.675888, -122.315994",1_36940,45,NE 65th St & 12th Ave NE,45 - Loyal Heights - University District - Seattle Children's Hospital,Seattle,,
Green Lake,"Seattle, WA",King,"47.675930, -122.321167",1_36960,45,NE 65th St & Oswego Pl NE,45 - Loyal Heights - University District - Seattle Children's Hospital,Seattle,,
Green Lake,"Seattle, WA",King,"47.677872, -122.323586",1_16515,45,NE Ravenna Blvd & NE 68th St,45 - Loyal Heights - University District - Seattle Children's Hospital,Seattle,,
Green Lake,"Seattle, WA",King,"47.678841, -122.324486",1_16520,45,NE Ravenna Blvd & Woodlawn Ave NE,45 - Loyal Heights - University District - Seattle Children's Hospital,Seattle,,
Green Lake,"Seattle, WA",King,"47.681370, -122.326920",1_36961,45,East Green Lake Dr N & 4th Ave NE,45 - Loyal Heights - University District - Seattle Children's Hospital,Seattle,,
,"Seattle, WA",King,"47.683106, -122.333557",1_36991,45,East Green Lake Dr N & Meridian Ave N,45 - Loyal Heights - University District - Seattle Children's Hospital,Seattle,,
Green Lake,"Seattle, WA",King,"47.685646, -122.336632",1_37020,45,East Green Lake Dr N & Wallingford Ave N,45 - Loyal Heights - University District - Seattle Children's Hospital,Seattle,,
